ID	SMILES
CHEMBL1909411	O(Cc1ccccc1)c1ccc(Nc2ncnc3c2cc(OC)cc3)cc1
CHEMBL175321	O=C1/C(=C/2\c3c(cc(O)cc3)CC\2)/c2c(N1)cccc2
CHEMBL1909379	N(c1ncnc2c1cccc2)c1cc2[nH]c(Cc3ccccc3)nc2cc1
CHEMBL1096290	OC(C#Cc1nc(CN2CCCC2)cc2n(CC)c(-c3c(N)non3)nc12)(C)C
CHEMBL1909349	O([C@@H](CN)c1ccccc1)c1nc(C#CC(O)(C)C)c2nc(n(CC)c2c1)-c1c(N)non1
CHEMBL518953	Brc1c(COc2c(C(=O)N)sc(-n3c4c(nc3)cccc4)c2)cccc1
CHEMBL473420	FC(F)(F)c1c(COc2c(C(=O)OC)sc(-n3c4c(nc3)cc(OC)c(OC)c4)c2)cccc1
CHEMBL471789	FC(F)(F)c1c(COc2c(C(=O)C)sc(-n3c4c(nc3)cc(OC)c(OC)c4)c2)cccc1
CHEMBL518968	FC(F)(F)c1c(COc2c(C(=O)NC)sc(-n3c4c(nc3)cc(OC)c(OC)c4)c2)cccc1
CHEMBL482326	FC(F)(F)c1c(COc2c(C(=O)N(C)C)sc(-n3c4c(nc3)cc(OC)c(OC)c4)c2)cccc1
CHEMBL477069	Fc1cc(Nc2nc(Nc3c(OC)cc(C4CN(CCC)CCC4)cc3)nc3[nH]ccc23)c(C(=O)N)cc1
CHEMBL458865	Fc1cc(C(=O)N)c(Nc2nc(Nc3c(OC)cc(N4CCN(C(C)C)CC4)cc3)nc3[nH]ccc23)cc1
CHEMBL476259	Fc1cc(Nc2nc(Nc3c(OC)cc(C4CCN(CCC)CC4)cc3)nc3[nH]ccc23)c(C(=O)N)cc1
CHEMBL450071	Fc1cc(C(=O)NC[C@@H](O)CO)c(Nc2nc(Nc3c(OC)cc(N4CCN(C(C)C)CC4)cc3)nc3[nH]ccc23)cc1
CHEMBL458438	O(C)c1c(Nc2nc(Nc3c4c(nccc4)ccc3)c3c([nH]cc3)n2)ccc(N2CCN(C(C)C)CC2)c1
CHEMBL517171	Clc1c(OC2CCN(CCC)CC2)cc(Nc2nc(Nc3c(C(=O)N)c(F)ccc3)c3c([nH]cc3)n2)c(OC)c1
CHEMBL505915	Fc1c(C(=O)N)c(Nc2nc(Nc3c(OC)cc4c(N(C(=O)CN5CCN(C(C)C)CC5)CC4)c3)nc3[nH]ccc23)ccc1
CHEMBL384073	Fc1ccc(C2C(C(=O)Nc3cc4c([nH]nc4)cc3)=C(C)NC(=O)N2)cc1
