activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	2796_precision_Train	2796_precision_Test	2796_recall_Train	2796_recall_Test	2796_fscore_Train	2796_fscore_Test	2796_mcc_Train	2796_mcc_Test	463190_precision_Train	463190_precision_Test	463190_recall_Train	463190_recall_Test	463190_fscore_Train	463190_fscore_Test	463190_mcc_Train	463190_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	588726_precision_Train	588726_precision_Test	588726_recall_Train	588726_recall_Test	588726_fscore_Train	588726_fscore_Test	588726_mcc_Train	588726_mcc_Test	652054_precision_Train	652054_precision_Test	652054_recall_Train	652054_recall_Test	652054_fscore_Train	652054_fscore_Test	652054_mcc_Train	652054_mcc_Test	687014_precision_Train	687014_precision_Test	687014_recall_Train	687014_recall_Test	687014_fscore_Train	687014_fscore_Test	687014_mcc_Train	687014_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	0	all	5	5321	166172	Adagrad	0.0	classification	True	True	234567	cells	False	123456	False	1234	True	6501.689279079437	0.995791384717	0.609663250366	0.9921887847390001	0.527088607595	0.9939868204279999	0.565376782077	0.9915988429829999	0.41661184142200003	0.9975655525689999	0.7515752993070001	0.9947906129880001	0.730180593817	0.9961761503200001	0.740723490141	0.9928860788230001	0.526390712601	0.992438563327	0.470873786408	0.993612491128	0.36113179449	0.993025180281	0.408765276022	0.992257954419	0.35970672242799995	0.987720874513	0.360995850622	0.9897959183670001	0.23366159355399999	0.98875730775	0.283695652174	0.987804563061	0.24299113298	0.993512974052	0.531890660592	0.991533864542	0.330035335689	0.992522432702	0.407326646315	0.991746978005	0.370552643402	0.991918773311	0.291036088475	0.982553366174	0.15625	0.9872138585279999	0.20333468889800002	0.985588668232	0.143258122909	0.991954321308	0.7092469018109999	0.994794377928	0.6241610738260001	0.9933723196879999	0.663989290495	0.99271669395	0.636910007486	0.9951935914550001	0.566225165563	0.992807671817	0.40046838407499996	0.993999199893	0.469135802469	0.993421944387	0.433839962518	0.9906947890819999	0.430167597765	0.969936228363	0.224926971762	0.980205616081	0.295396419437	0.978633493416	0.27394851349800003	0.9941686815530001	0.531926406926	0.9923339011929999	0.41146923398900004	0.99325044405	0.464007552514	0.991917962034	0.376225502918
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	1	all	5	5321	166172	Adagrad	0.1	classification	True	True	234567	cells	False	123456	False	1234	True	6420.965167045593	0.995763102146	0.606655290102	0.994572217111	0.54	0.995167303355	0.571390302706	0.993250158171	0.420868180853	0.9983128058040001	0.754253611557	0.9952901597980001	0.71916131007	0.9967991913750001	0.7362895643999999	0.9940396679189999	0.5223565771540001	0.994182971973	0.47789473684199996	0.991561181435	0.33804914370800004	0.9928703459200001	0.395987788923	0.992088985085	0.350836009464	0.9919028340080001	0.376	0.985584981562	0.210384959714	0.988733815369	0.26980482204399997	0.987794555668	0.23706543930500001	0.995273839311	0.549210206561	0.988677161005	0.319434628975	0.991964533112	0.403932082216	0.9911383859819999	0.372362032447	0.994246260069	0.285555555556	0.987880173794	0.160625	0.9910529938060001	0.2056	0.9899143307520001	0.142354484459	0.993650793651	0.698095238095	0.995374385661	0.614932885906	0.994511842865	0.6538804638719999	0.9939694523479999	0.625875664213	0.9937163375220001	0.5673289183219999	0.994907130018	0.4012490242	0.994311377246	0.470050297211	0.993769601232	0.43484561666500005	0.9948275862070001	0.445544554455	0.975650997633	0.219084712756	0.9851459791700001	0.293733681462	0.9839732084110001	0.276749481622	0.993843725335	0.520569620253	0.9954150197630001	0.413143574717	0.994628751975	0.460676779463	0.993567725637	0.36990729178900006
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	2	all	5	5321	166172	Adagrad	0.2	classification	True	True	234567	cells	False	123456	False	1234	True	6423.249490261078	0.9977209157770001	0.603991900492	0.995760959471	0.5286075949369999	0.996739974127	0.5637910085050001	0.9954432582189999	0.41280721070799997	0.9981733434110001	0.740894421392	0.9967293540469999	0.7378328741969999	0.997450826121	0.739360478491	0.9952424249349999	0.518723367222	0.997920380273	0.46370530877599997	0.992319054653	0.318689501117	0.995111835284	0.37775816416599994	0.9945788399959999	0.332680245045	0.9943181818179999	0.341906202723	0.9913141993960001	0.202327663384	0.992813918306	0.254218222722	0.9922128057840001	0.216140957766	0.995946367321	0.529769137303	0.993777224642	0.308127208481	0.9948606136120001	0.38963360143	0.994326843613	0.35626521582500004	0.9942663539219999	0.274826789838	0.9888543286679999	0.14875	0.9915529564650001	0.19302514193	0.9904881634530001	0.13081606154300002	0.996727748691	0.72049689441	0.996401701014	0.58389261745	0.996564698184	0.645041705283	0.9962257257610001	0.620236723081	0.994256756757	0.568287037037	0.995939086294	0.38329430132700004	0.995097210482	0.457808857809	0.994632080071	0.424829901964	0.9934815950920001	0.45247148289	0.984796655264	0.23174294060400003	0.98912006108	0.30650354153299997	0.988227622046	0.287906026474	0.996288441145	0.517168515584	0.996112387348	0.409794893261	0.996200406468	0.45726296123300003	0.9954451648479999	0.366004792999
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	3	all	5	5321	166172	Adagrad	0.3	classification	True	True	234567	cells	False	123456	False	1234	True	6405.799618244171	0.996692262256	0.585285202535	0.997635095187	0.5377215189869999	0.9971634558560001	0.560496107666	0.9960348993889999	0.40192578079499997	0.998919930876	0.7410769230769999	0.997483462755	0.7372206917659999	0.998201180026	0.739143777812	0.996643573909	0.518545239582	0.9959527824619999	0.44702320888	0.9959527824619999	0.329858525689	0.9959527824619999	0.379605826907	0.9955048206880001	0.329989439739	0.9948186528499999	0.34850863422300005	0.992675570875	0.198746642793	0.993745956437	0.25313568985199997	0.9932204822930001	0.21730773206300003	0.997836278399	0.518193224592	0.9935368043089999	0.29187279151900003	0.995681899964	0.373417721519	0.995240509599	0.340830027659	0.997020262217	0.305623471883	0.990233796981	0.15625	0.9936154417219999	0.20678246484700002	0.9928166314679999	0.150987872253	0.992576095026	0.6932153392329999	0.999252615845	0.59144295302	0.9959031657359999	0.63829787234	0.995503917773	0.610304791324	0.9972983404090001	0.5810126582280001	0.995761078998	0.35831381733	0.9965291168529999	0.44326412361199996	0.996199512009	0.415889385376	0.9943502824860001	0.435233160622	0.9943502824860001	0.245374878286	0.9943502824860001	0.313823163138	0.9938787725660001	0.28892904187699997	0.997181397222	0.5080870050199999	0.9943786388279999	0.38133110087899996	0.995778045838	0.435676709708	0.9949359232580001	0.345544216847
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	4	all	5	5321	166172	Adagrad	0.4	classification	True	True	234567	cells	False	123456	False	1234	True	6409.418952703477	0.998631449295	0.58470894874	0.9972666393330001	0.511139240506	0.997948577681	0.545454545455	0.997129541793	0.38811314057199997	0.999747920343	0.746503777528	0.996899874319	0.710743801653	0.9983218660850001	0.7281850254800001	0.996868957926	0.507973857134	0.99801980198	0.447916666667	0.99801980198	0.320178704393	0.99801980198	0.373425966131	0.9978025429200001	0.325229378462	0.996027805362	0.327536231884	0.995533498759	0.202327663384	0.9957805907170001	0.250138350858	0.995422060257	0.20900609306899998	0.998330550918	0.52	0.9966666666670001	0.28480565371	0.997497914929	0.36803652968	0.9972383274009999	0.337267132002	0.998970487303	0.324786324786	0.9904729499830001	0.1425	0.994703570818	0.19808861859299998	0.9940375106110001	0.153090655008	0.992694456382	0.67578125	0.999134948097	0.580536912752	0.995904289718	0.624548736462	0.995501451313	0.5950395289779999	0.9977396021700001	0.6	0.9981908638629999	0.35362997658100004	0.9979651820029999	0.444990176817	0.997773245317	0.42174734866400004	0.99693408278	0.40449438202200005	0.993886907794	0.210321324245	0.995408163265	0.276745675849	0.9950281755060001	0.25356159001899997	0.9962920046349999	0.498452012384	0.996985157699	0.404353285894	0.9966384606470001	0.44649872891099995	0.995959215851	0.351121911684
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	5	all	5	5321	166172	Adagrad	0.5	classification	True	True	234567	cells	False	123456	False	1234	True	6408.410024642944	0.9983566146259999	0.573554183043	0.998684859444	0.517215189873	0.998520710059	0.5439297124600001	0.997927264737	0.38180494739	0.998568653512	0.7207619610160001	0.998568653512	0.7470156106520001	0.998568653512	0.733653990681	0.997345091198	0.499995027232	0.998595505618	0.46459227467799996	0.9971949509119999	0.322412509308	0.997894736842	0.380659340659	0.9976632780410001	0.33521464169799997	0.998210023866	0.35538752362899995	0.998805970149	0.16830796777100002	0.998507908087	0.228432563791	0.998380620596	0.20227446775400001	0.9990205680709999	0.48875	0.99609375	0.276325088339	0.997555012225	0.353047404063	0.9972979935330001	0.317494303015	0.998763396538	0.27308707124000003	0.996299342105	0.129375	0.997529847674	0.17557251908399998	0.997210220596	0.120589242313	0.9984177215189999	0.668604651163	0.9984177215189999	0.578859060403	0.9984177215189999	0.620503597122	0.998263962101	0.590296403512	1.0	0.6011816839	0.994708994709	0.317720530835	0.997347480106	0.41573033707900003	0.9970942240549999	0.399139284719	0.9914163090129999	0.401818181818	0.9956896551719999	0.215189873418	0.993548387097	0.28027901078	0.9930176397380001	0.255409016038	0.998858773181	0.535737282679	0.998289136014	0.34826287149400004	0.9985738733600001	0.422120750888	0.998293458098	0.34442206143700005
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	6	all	5	5321	166172	Adagrad	0.6	classification	True	True	234567	cells	False	123456	False	1234	True	6406.491284132005	0.999380165289	0.5757485917580001	0.9983488132089999	0.49164556962	0.998864223025	0.530383722518	0.998414050699	0.37101924278399995	0.999234205488	0.724532385222	0.9989792012250001	0.7173247627789999	0.999106687085	0.720910559102	0.998344436909	0.485948774649	0.999410724808	0.438679245283	0.996474735605	0.276991809382	0.997940570756	0.33957097215899995	0.997715078162	0.296432767429	0.998476770754	0.34451901566	0.995444191344	0.137869292748	0.996958174905	0.196930946292	0.996703677772	0.17810563250300002	0.999379267536	0.49553001277099995	0.996287128713	0.274204946996	0.9978308026029999	0.35304822566	0.997607636178	0.319371538612	0.9984480082770001	0.272727272727	0.9984480082770001	0.114375	0.9984480082770001	0.161162483487	0.9982471378389999	0.112839877585	0.999346405229	0.64265129683	0.999346405229	0.5612416107379999	0.999346405229	0.599193909539	0.999282302665	0.566746741446	0.999351491569	0.55023923445	0.9987038237200001	0.35909445745499996	0.999027552674	0.434577231932	0.998930676221	0.401697739365	0.998492840995	0.37795275590599997	0.996240601504	0.186952288218	0.9973654497550001	0.25016286645	0.997144404471	0.22734177072200001	0.999267130817	0.506800286328	0.9981698389460001	0.296358308916	0.9987181834829999	0.374009508716	0.998473307898	0.299126936393
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	7	all	5	5321	166172	Adagrad	0.7	classification	True	True	234567	cells	False	123456	False	1234	True	6407.5187504291525	0.999459897381	0.559471365639	0.9989203778679999	0.482278481013	0.9991900647949999	0.5180149558120001	0.9988655311929999	0.35293633398400004	0.9994884910490001	0.721398470423	0.99965893588	0.7073767982860001	0.999573706198	0.71431883162	0.999209579151	0.475998891539	1.0	0.421602787456	0.999207606973	0.270290394639	0.999603646453	0.329401088929	0.999560841007	0.284017799086	0.9990099009899999	0.300420168067	0.998021760633	0.12802148612400002	0.998515586343	0.17953546767099998	0.9983884122069999	0.153482116439	0.99918699187	0.461832061069	0.99837530463	0.256537102473	0.9987809833399999	0.329850068151	0.998652279033	0.292789228027	0.9993302076360001	0.262254901961	0.9993302076360001	0.13375	0.9993302076360001	0.177152317881	0.9992404329700001	0.116930576294	1.0	0.6621338912129999	1.0	0.531040268456	1.0	0.58938547486	1.0	0.560246935679	0.9991379310340001	0.546089385475	1.0	0.305230288837	0.999568779646	0.391587381072	0.999525938541	0.36675893826300004	0.996984924623	0.37037037037	1.0	0.175267770204	0.9984901862100001	0.237937871778	0.9983644430949999	0.21667625751400002	0.997576345128	0.466246056782	0.997576345128	0.30933444956	0.997576345128	0.37191746351300004	0.9971106657019999	0.28256282438499997
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	8	all	5	5321	166172	Adagrad	0.8	classification	True	True	234567	cells	False	123456	False	1234	True	6408.166306734084	0.999598554797	0.538326506729	1.0	0.46582278481000006	0.9997992371009999	0.49945711183499997	0.9997191675910001	0.32726854905	0.999741868869	0.710258418168	1.0	0.694061830425	0.999870917775	0.702066723431	0.999761692377	0.45433776639	1.0	0.37032569360699996	1.0	0.228592702904	1.0	0.282688766114	1.0	0.23473126122299998	1.0	0.283752860412	1.0	0.111011638317	1.0	0.159588159588	1.0	0.13582095199799998	1.0	0.39728096676700003	1.0	0.185865724382	1.0	0.253249879634	1.0	0.219822291826	0.999014778325	0.25682382134	1.0	0.129375	0.999507146378	0.172069825436	0.99943990418	0.111955715552	1.0	0.6573660714289999	1.0	0.494127516779	1.0	0.564176245211	1.0	0.536697379419	1.0	0.513654096229	1.0	0.308352849336	1.0	0.385365853659	1.0	0.353751085395	1.0	0.343621399177	1.0	0.162609542356	1.0	0.22075346992699998	1.0	0.19723769689100001	0.998558038933	0.44875	1.0	0.300544160737	0.9992784992779999	0.359989972424	0.9991391465520001	0.267403002909
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	9	all	5	5321	166172	Adagrad	0.9	classification	True	True	234567	cells	False	123456	False	1234	True	6405.949526309967	1.0	0.49984496124	1.0	0.408101265823	1.0	0.44933797909400003	1.0	0.268565964906	1.0	0.678765880218	1.0	0.686868686869	1.0	0.682793245094	1.0	0.410287027729	1.0	0.326219512195	1.0	0.15934475055800001	1.0	0.214107053527	1.0	0.174304789844	1.0	0.222748815166	1.0	0.08415398388539999	1.0	0.122157244964	1.0	0.0937428289053	1.0	0.30860033726799996	1.0	0.129328621908	1.0	0.18227091633499998	1.0	0.145724981306	1.0	0.233734939759	1.0	0.12125	1.0	0.15967078189300002	1.0	0.09552122378979999	1.0	0.609974424552	1.0	0.400167785235	1.0	0.483282674772	1.0	0.458010037959	1.0	0.45432977461400004	1.0	0.298985167838	1.0	0.360640301318	1.0	0.319387851097	1.0	0.332530120482	1.0	0.134371957157	1.0	0.191400832178	1.0	0.174363771534	1.0	0.425202652911	1.0	0.24152365006299997	1.0	0.308061932728	1.0	0.223468353207
