activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	0	all	6	8086	215474	Adagrad	0.0	classification	True	True	1234	cells	False	123456	False	1234	True	10936.254297971724	0.9998488398459999	0.626213592233	0.9997732769040001	0.628976085442	0.999811056947	0.6275917989109999	0.9997071193629999	0.42944470916500005	0.999906520215	0.789671239969	0.999906520215	0.848185736132	0.999906520215	0.817883236142	0.9997806469689999	0.547568582391	0.999381698269	0.637540453074	0.997941963367	0.48792569659400004	0.9986613119140001	0.5527884952650001	0.998461213959	0.501667996702	0.999628459967	0.42769230769199995	0.999442793462	0.239105504587	0.9995356180920001	0.306730415594	0.999457255304	0.241406439869	0.999512254603	0.626994394135	0.998659844055	0.532405712193	0.999085867512	0.575841584158	0.998828103326	0.471072292856
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	1	all	6	8086	215474	Adagrad	0.1	classification	True	True	1234	cells	False	123456	False	1234	True	10802.86028456688	0.999747962698	0.6185684884520001	0.999915973448	0.628047364755	0.999831961015	0.623271889401	0.9997394839489999	0.42119224602099997	0.999948229447	0.7922698897600001	0.999896464254	0.829278465174	0.9999223461810001	0.8103518543680001	0.999817588452	0.536088778477	0.9988628610420001	0.64660361135	0.998181818182	0.465634674923	0.998522223485	0.541396688265	0.99829963282	0.49370922476499995	0.999793601651	0.429577464789	0.999174917492	0.244839449541	0.9994841638299998	0.311906501096	0.9993971106020001	0.245549961882	0.999592944369	0.6216446527480001	0.998509081052	0.534236543391	0.999050718742	0.57463568334	0.9987835805449999	0.468331519297
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	2	all	6	8086	215474	Adagrad	0.2	classification	True	True	1234	cells	False	123456	False	1234	True	10838.23124051094	1.0	0.628309824301	0.9996218924279999	0.5895054562340001	0.999810910466	0.6082894106369999	0.999706878915	0.411003024563	0.999941813104	0.787004548408	0.999941813104	0.84192965383	0.999941813104	0.8135411069320001	0.999863418623	0.537791119028	0.999230769231	0.636283185841	0.998462720984	0.4452012383899999	0.998846597463	0.523861566485	0.9986732012	0.476236418446	0.999771062271	0.422222222222	0.999313501144	0.22878440367	0.9995422293430001	0.296764596504	0.9994639413840001	0.23283492097600003	0.9995386035070001	0.6162377994680001	0.9987705547869999	0.508604906628	0.999154431547	0.557271815446	0.99891782533	0.450710690602
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	3	all	6	8086	215474	Adagrad	0.3	classification	True	True	1234	cells	False	123456	False	1234	True	10818.074233293532	0.9998919035780001	0.609418282548	0.9998919035780001	0.612955653587	0.9998919035780001	0.611181849751	0.999832644319	0.404085701678	1.0	0.790219984098	0.999933315551	0.829000417072	0.999966656664	0.80914580365	0.999922014854	0.532466135891	0.999707858604	0.673490276356	0.998540997957	0.40743034055699995	0.999124087591	0.507716049383	0.9989922186310001	0.47217678923699996	0.9992069785879999	0.40056022409	0.9997355197040001	0.245986238532	0.9994711792700001	0.304795737123	0.999381488662	0.230090621644	0.9989464442489999	0.599588477366	0.999648567914	0.5335042109120001	0.9992973827509999	0.564619259833	0.999100720557	0.45225476055799996
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	4	all	6	8086	215474	Adagrad	0.4	classification	True	True	1234	cells	False	123456	False	1234	True	10823.368324756622	1.0	0.62534284147	0.9992424242419999	0.529370791734	0.9996210685870001	0.573368540174	0.9994139005589999	0.37750229913500005	0.99984399376	0.77965664128	1.0	0.8397052690119999	0.999921990795	0.808567603748	0.9998179599200001	0.523451023096	0.9989597780859999	0.5848	0.9989597780859999	0.45263157894699996	0.9989597780859999	0.510296684119	0.998805314076	0.452365922302	0.999383096854	0.44105409153999997	0.998766954377	0.182339449541	0.9990749306200001	0.258012170385	0.998918206628	0.214876516342	0.999384741591	0.615064695009	0.999384741591	0.487367264738	0.999384741591	0.543820224719	0.999212733106	0.43837973105800004
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	5	all	6	8086	215474	Adagrad	0.5	classification	True	True	1234	cells	False	123456	False	1234	True	10825.870757102966	0.998343123964	0.576750814332	1.0	0.657766426747	0.9991708751039999	0.614600282026	0.9987128926540001	0.39108575078	0.999906147349	0.774160471674	0.999906147349	0.8397052690119999	0.999906147349	0.805601867289	0.9997798528299999	0.5139645090380001	0.9995972613770001	0.5888888888889999	1.0	0.39380804953599996	0.999798590131	0.471985157699	0.999767913021	0.421071639788	0.999623210249	0.42293906810000004	0.999623210249	0.20298165137600002	0.999623210249	0.274312282061	0.9995602657029999	0.21865796223099998	0.999759788614	0.618261291889	0.999759788614	0.466129622849	0.999759788614	0.531524008351	0.999690780264	0.428881772742
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	6	all	6	8086	215474	Adagrad	0.6	classification	True	True	1234	cells	False	123456	False	1234	True	10818.61564064026	1.0	0.606311044328	1.0	0.5621081959600001	1.0	0.583373493976	1.0	0.37558562494000003	1.0	0.779025227843	1.0	0.819963853747	1.0	0.798970468708	1.0	0.506414280928	1.0	0.573986804901	1.0	0.377089783282	1.0	0.455156950673	1.0	0.403462392988	1.0	0.40603248259900004	1.0	0.20068807339400002	1.0	0.268610897928	1.0	0.20885063935400003	1.0	0.600846262341	0.9996998799519999	0.467960454046	0.999849917455	0.5261424454510001	0.9998069641480001	0.41823167076800005
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	7	all	6	8086	215474	Adagrad	0.7	classification	True	True	1234	cells	False	123456	False	1234	True	10829.541317224504	1.0	0.58544921875	1.0	0.5567680520080001	1.0	0.570748542187	1.0	0.352006557472	1.0	0.771185330714	1.0	0.8185736132350001	1.0	0.7941731858650001	1.0	0.49189586868999996	1.0	0.545454545455	1.0	0.338080495356	1.0	0.417431192661	1.0	0.365743769256	1.0	0.393839383938	1.0	0.20527522935800002	1.0	0.26988315115	1.0	0.205044297481	1.0	0.591204397801	1.0	0.433174661296	1.0	0.5	1.0	0.39299628225199995
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	8	all	6	8086	215474	Adagrad	0.8	classification	True	True	1234	cells	False	123456	False	1234	True	10872.19495511055	1.0	0.570114942529	1.0	0.518226143487	1.0	0.5429335928	1.0	0.318612060992	1.0	0.767551932685	1.0	0.811622410677	1.0	0.788972227853	1.0	0.480241642053	1.0	0.519877675841	1.0	0.315789473684	1.0	0.392912172573	1.0	0.33948751564499996	1.0	0.392996108949	1.0	0.17373853210999998	1.0	0.24095427435400002	1.0	0.187094139414	1.0	0.563235294118	1.0	0.42072500915399996	1.0	0.481660029344	1.0	0.36761934088799997
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	9	all	6	8086	215474	Adagrad	0.9	classification	True	True	1234	cells	False	123456	False	1234	True	10888.866926670074	1.0	0.5579367057060001	1.0	0.51985140469	1.0	0.538221153846	1.0	0.306775919781	1.0	0.7431133888529999	1.0	0.806339496733	1.0	0.773436458194	1.0	0.432538017302	1.0	0.47848101265799997	1.0	0.23405572755399998	1.0	0.314345114345	1.0	0.270065292547	1.0	0.35722679200900004	1.0	0.17431192660599998	1.0	0.23429672446999997	1.0	0.16931789035999997	1.0	0.5318454001089999	1.0	0.357744415965	1.0	0.42775831873899994	1.0	0.313919102316
