burnin	compound_weighting	data_transform	imputation_method	impute_labels	impute_seed	lambda_beta	model_suffix	multitask_strategy	nsamples	num_latent	percent_to_delete	precision	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	seed	shuffle_labels	shuffle_seed	sn_max	target_weighting	tol	univariate	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
315	True	None	mean	False	1234	5.0	0	all	1793	96	0.0	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	30632.690721035004	1.0	0.621867881549	1.0	0.434911242604	1.0	0.511852149458	1.0	0.32168777356600003	1.0	0.7487059403499999	1.0	0.8470440602339999	1.0	0.794844956169	1.0	0.476501680339	1.0	0.7587939698489999	1.0	0.092581238504	1.0	0.165027322404	1.0	0.23708936212099999	1.0	0.579710144928	0.999812065401	0.022136137244099997	0.99990602387	0.0426439232409	0.999890387035	0.09206264648039998	1.0	0.6564102564100001	1.0	0.235121234386	1.0	0.346226670273	1.0	0.308573324181
315	True	None	mean	False	1234	5.0	1	all	1793	96	0.1	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	30174.391751766205	1.0	0.627085377821	1.0	0.43627674101	1.0	0.514561803785	1.0	0.326808369652	1.0	0.7471419791030001	1.0	0.847462353597	1.0	0.794146468936	1.0	0.47392583026100005	1.0	0.745762711864	0.9997704315889999	0.08093194359289999	0.9998852026170001	0.14601769911499998	0.9998680941850001	0.21876053139499999	1.0	0.606060606061	0.997717842324	0.022136137244099997	0.998857617613	0.0427122263748	0.998667450602	0.09549012596419999	1.0	0.654639175258	1.0	0.233284349743	1.0	0.343986998917	1.0	0.30646798798
315	True	None	mean	False	1234	5.0	2	all	1793	96	0.2	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29716.761496782306	1.0	0.631212723658	1.0	0.433545744197	1.0	0.514031300594	1.0	0.328932570737	1.0	0.746728629082	1.0	0.851366424986	1.0	0.795621864617	1.0	0.476328296213	1.0	0.7471264367820001	1.0	0.0797057020233	1.0	0.14404432133	1.0	0.21735341875999997	1.0	0.5714285714289999	0.999309710078	0.022136137244099997	0.999654735873	0.042621204049	0.9995962773649999	0.0909629480453	1.0	0.648958333333	1.0	0.22887582659800002	1.0	0.338403041825	1.0	0.300777151119
315	True	None	mean	False	1234	5.0	3	all	1793	96	0.3	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29245.762005090717	1.0	0.628740545873	1.0	0.43513882567100004	1.0	0.5143241425689999	1.0	0.327644631699	1.0	0.745037980887	1.0	0.8478806469600001	1.0	0.79313942872	1.0	0.47032099712	1.0	0.739884393064	1.0	0.0784794604537	1.0	0.141906873614	1.0	0.214170816833	1.0	0.58904109589	1.0	0.023796347537400002	1.0	0.04574468085109999	1.0	0.09674357277489999	1.0	0.660020986359	1.0	0.23108008816999998	1.0	0.34231292516999995	1.0	0.307295476446
315	True	None	mean	False	1234	5.0	4	all	1793	96	0.4	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	28424.419974088665	1.0	0.632749326146	1.0	0.42740100136500003	1.0	0.510187449063	1.0	0.32713361479499997	1.0	0.743076735391	1.0	0.8492749581710001	1.0	0.7926345240420001	1.0	0.46774831302299996	1.0	0.74213836478	1.0	0.07234825260580001	1.0	0.131843575419	1.0	0.205964891275	1.0	0.575757575758	1.0	0.0210293303818	1.0	0.040576615056099996	1.0	0.0892088184389	1.0	0.66050054407	1.0	0.22299779573800002	1.0	0.333424883274	1.0	0.301645653409
315	True	None	mean	False	1234	5.0	5	all	1793	96	0.5	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	28582.68274140358	1.0	0.6208	1.0	0.44151115157	1.0	0.516026067296	1.0	0.324008781465	1.0	0.7463020509630001	1.0	0.837144450641	1.0	0.7891174344480001	1.0	0.464131063102	1.0	0.7231638418080001	1.0	0.0784794604537	1.0	0.141592920354	1.0	0.210715876651	1.0	0.6	0.9992548435169999	0.0199225235196	0.999627282892	0.0385645420461	0.999564740609	0.0898266697467	1.0	0.6601830663620001	1.0	0.21197648787700002	1.0	0.320912124583	1.0	0.293383245234
315	True	None	mean	False	1234	5.0	6	all	1793	96	0.6	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27956.04739189148	1.0	0.6134809508300001	1.0	0.428766499772	1.0	0.504755525787	1.0	0.311498740522	1.0	0.7480668495880001	1.0	0.836307863915	1.0	0.7897300855830001	1.0	0.46674751438999995	1.0	0.730538922156	1.0	0.0748007357449	1.0	0.135706340378	1.0	0.207142508493	1.0	0.625	1.0	0.019369120088500003	1.0	0.0375738056897	1.0	0.0915382300789	1.0	0.651966626937	1.0	0.20095518001499998	1.0	0.307217073856	1.0	0.28166918874
315	True	None	mean	False	1234	5.0	7	all	1793	96	0.7	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27242.688317060467	1.0	0.628376068376	1.0	0.418297678653	1.0	0.50225440634	1.0	0.318944832108	1.0	0.745404526698	1.0	0.831148912437	1.0	0.785945019448	1.0	0.457791352025	1.0	0.748299319728	1.0	0.0674432863274	1.0	0.123734533183	1.0	0.199939631111	1.0	0.6046511627910001	1.0	0.0143884892086	1.0	0.028108108108099997	1.0	0.0767690831889	1.0	0.635627530364	1.0	0.173034533431	1.0	0.272018481086	1.0	0.253648600266
315	True	None	mean	False	1234	5.0	8	all	1793	96	0.8	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	26964.12601041794	1.0	0.617854622442	1.0	0.398497951752	1.0	0.48450470392899997	1.0	0.300491019161	1.0	0.739765351972	1.0	0.826408254322	1.0	0.780690200211	1.0	0.44362450272799997	1.0	0.7226277372259999	1.0	0.0606989576947	1.0	0.111990950226	1.0	0.184913926071	1.0	0.526315789474	1.0	0.005534034311010001	1.0	0.010952902519200001	1.0	0.042285361480800004	1.0	0.636650868878	1.0	0.148052902278	1.0	0.240238450075	1.0	0.23393401548700002
315	True	None	mean	False	1234	5.0	9	all	1793	96	0.9	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27360.158643722534	1.0	0.611111111111	1.0	0.362994993173	1.0	0.45545402627099996	1.0	0.277790355128	1.0	0.7347503458679999	1.0	0.814556609035	1.0	0.7725980294920001	1.0	0.425385573804	1.0	0.7090909090909999	1.0	0.047823421213999996	1.0	0.0896036760482	1.0	0.16172343775	1.0	0.428571428571	1.0	0.00498063087991	1.0	0.00984682713348	1.0	0.0330509495334	1.0	0.632211538462	1.0	0.09662013225569999	1.0	0.16762268961100002	1.0	0.185925447811
315	True	None	mean	False	1234	5.0	10	all	1793	96	0.05	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	31306.221836328506	1.0	0.627945026178	1.0	0.43673190714599996	1.0	0.5151677852350001	1.0	0.327764247575	1.0	0.7471758349709999	1.0	0.848438371445	1.0	0.794593888744	1.0	0.474780112883	1.0	0.748717948718	0.999348958333	0.08951563457999999	0.999674373168	0.15991237678	0.9996257963799999	0.230888532255	1.0	0.625	0.996642969984	0.022136137244099997	0.998318662842	0.0427578834848	0.998040733913	0.097890135701	1.0	0.659420289855	1.0	0.2340191036	1.0	0.345444685466	1.0	0.309138048203
315	True	None	mean	False	1234	5.0	11	all	1793	96	0.15	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27910.70657491684	1.0	0.629934210526	1.0	0.43582157487499995	1.0	0.5152004304550001	1.0	0.328994076549	1.0	0.7478836952519999	1.0	0.849972113776	1.0	0.795666644913	1.0	0.477350344561	1.0	0.7444444444439999	1.0	0.08215818516250001	1.0	0.147984538929	1.0	0.22016036852600002	1.0	0.590909090909	0.999347258486	0.0215827338129	0.99967352269	0.041644420715400005	0.9996183540260001	0.0923494722015	1.0	0.654244306418	1.0	0.232182218957	1.0	0.34273318872	1.0	0.305504910091
315	True	None	mean	False	1234	5.0	12	all	1793	96	0.25	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	29875.34722185135	1.0	0.6275726886640001	1.0	0.43718707328199996	1.0	0.515358819584	1.0	0.327674595533	1.0	0.7456343875929999	1.0	0.851366424986	1.0	0.7950003255	1.0	0.474273577601	1.0	0.747058823529	0.9997242140100001	0.0778663396689	0.999862087988	0.14103275957800002	0.99984152653	0.21478194368	1.0	0.583333333333	0.999507631709	0.023242944106299998	0.999753755233	0.0447046301224	0.9997121802760001	0.09483874128110001	1.0	0.656346749226	1.0	0.233651726672	1.0	0.344622053644	1.0	0.3074972105
315	True	None	mean	False	1234	5.0	13	all	1793	96	0.35	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	28659.391982793808	1.0	0.628571428571	1.0	0.43058716431500005	1.0	0.511075094543	1.0	0.325233506594	1.0	0.744271087275	1.0	0.851366424986	1.0	0.7942247658689999	1.0	0.471704308848	1.0	0.736526946108	1.0	0.0754138565297	1.0	0.13681868743	1.0	0.209212166817	1.0	0.561643835616	0.999714285714	0.0226895406752	0.999857122446	0.0436170212766	0.9998331308	0.09076932020610001	1.0	0.649895178197	1.0	0.227773695812	1.0	0.33732317736699996	1.0	0.300410503906
315	True	None	mean	False	1234	5.0	14	all	1793	96	0.45	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27378.454629421234	1.0	0.62983236401	1.0	0.418980427856	1.0	0.503211698784	1.0	0.320491419356	1.0	0.7448905109489999	1.0	0.8537367540440001	1.0	0.795608108108	1.0	0.474812835957	1.0	0.7315436241609999	1.0	0.06683016554259999	1.0	0.122471910112	1.0	0.19584525477499998	1.0	0.5573770491800001	0.9996599795990001	0.018815716657400002	0.9998299608910001	0.036402569593099995	0.999801564224	0.08208374134169999	1.0	0.6489479512740001	1.0	0.215282880235	1.0	0.323310344828	1.0	0.290981971399
315	True	None	mean	False	1234	5.0	15	all	1793	96	0.55	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	27382.5757586956	1.0	0.6240234375	1.0	0.43627674101	1.0	0.513527993571	1.0	0.324201778715	1.0	0.748008959681	1.0	0.838120468489	1.0	0.79050499737	1.0	0.468068973657	1.0	0.706896551724	1.0	0.0754138565297	1.0	0.136288088643	1.0	0.203156166338	1.0	0.6938775510199999	1.0	0.018815716657400002	1.0	0.0366379310345	1.0	0.09789528795839998	1.0	0.653442240373	1.0	0.205731080088	1.0	0.31293657446199996	1.0	0.285866928109
315	True	None	mean	False	1234	5.0	16	all	1793	96	0.65	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	26904.571292161938	1.0	0.622489959839	1.0	0.42330450614500004	1.0	0.503928474668	1.0	0.31650845517299997	1.0	0.7473487211480001	1.0	0.835192414947	1.0	0.788832554158	1.0	0.46454280041199997	1.0	0.7317073170730001	1.0	0.0735744941754	1.0	0.133704735376	1.0	0.20564855211	1.0	0.64	1.0	0.0177089097952	1.0	0.034464189553	1.0	0.0891790357065	1.0	0.647132169576	1.0	0.19066862601	1.0	0.294551645857	1.0	0.27187972576499997
315	True	None	mean	False	1234	5.0	17	all	1793	96	0.75	adaptive	classification	True	True	456789	cells	123456	False	1234	10.0	True	1e-06	0	26253.16678762436	1.0	0.623648412975	1.0	0.40691852526199995	1.0	0.492494146812	1.0	0.309392683893	1.0	0.7410557918440001	1.0	0.825989960959	1.0	0.781221152578	1.0	0.445732610792	1.0	0.724637681159	1.0	0.0613120784795	1.0	0.113058224986	1.0	0.186225881719	1.0	0.6	1.0	0.0116214720531	1.0	0.022801302931599998	1.0	0.06853702432009999	1.0	0.6318926974660001	1.0	0.15576781778100002	1.0	0.24992631889199998	1.0	0.238493858576
