allow_restart	bootstrap	class_weight	criterion	data_transform	imputation_method	impute_labels	impute_seed	learning_rate	max_depth	max_features	min_impurity_split	min_samples_leaf	min_smaples_split	min_weight_fraction_leaf	model_suffix	n_estimators	n_jobs	oob_score	optimizer	percent_to_delete	prediction_mode	random_state	read_parameters	remove_labels	remove_seed	remove_type	restore_forest	sample_weight	seed	shuffle_labels	shuffle_seed	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	0	493	7	False	Adagrad	0.0	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	68.54479026794435	1.0	0.6997358379809999	0.999622128174	0.5535175296029999	0.999811028384	0.618096966554	0.999707140615	0.45612292667800003	1.0	0.780725567621	0.999766300538	0.879605171695	0.999883136613	0.82722102373	0.999725857391	0.559997286822	1.0	0.803220035778	0.9975303560400001	0.278018575851	0.99876365135	0.41306347746100003	0.998579652197	0.434544525015	1.0	0.5590277777780001	0.998885586924	0.0923165137615	0.99944248281	0.158464566929	0.9993486599220001	0.18567731106899998	1.0	0.768041237113	0.998416179337	0.327352618089	0.99920746205	0.459050064185	0.9989844757680001	0.42567076789499997
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	1	493	7	False	Adagrad	0.1	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	61.76460075378418	1.0	0.6935103244840001	0.999581869878	0.5458555839329999	0.9997908912219999	0.610887358711	0.999675205913	0.446543648332	1.0	0.775485288732	0.999792831987	0.883080772974	0.9998964052629999	0.8257930317209999	0.9997560841359999	0.55399007788	1.0	0.8205607476639999	0.997721057429	0.271826625387	0.998859228839	0.408372093023	0.998688697497	0.435622712312	1.0	0.557894736842	0.998759305211	0.09116972477060001	0.999379267536	0.156727451947	0.99927508442	0.184185132486	1.0	0.7625	0.99850502854	0.31270596851	0.999251955117	0.44352116333400005	0.999042518029	0.41252336213600005
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	2	493	7	False	Adagrad	0.2	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	54.230555772781365	1.0	0.691145361136	0.999530516432	0.530996052937	0.999765203099	0.600577731092	0.9996349222450001	0.43621944701000004	1.0	0.7750945237219999	0.9998248890960001	0.883497845127	0.9999124368819999	0.8257536382539999	0.999794315242	0.553682612306	1.0	0.798039215686	0.99794502954	0.252012383901	0.998971457958	0.383058823529	0.9988179428799999	0.411021131944	1.0	0.566801619433	0.999065420561	0.0802752293578	0.999532491819	0.14063284781500002	0.99945435975	0.174851046727	1.0	0.77318640955	0.998786959818	0.308311973636	0.9993931118189999	0.44083769633500003	0.999221268443	0.41421574964100005
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	3	493	7	False	Adagrad	0.3	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	47.19140863418579	1.0	0.687789799073	0.999463691945	0.516600882285	0.999731774046	0.590029169981	0.9995828608570001	0.42539214983	1.0	0.771710046217	0.9998665599150001	0.882107604616	0.9999332755050001	0.8232241323389999	0.999843294984	0.546389812458	1.0	0.802575107296	0.998230610439	0.231578947368	0.999114521842	0.359442575685	0.9989829445819999	0.394830269509	1.0	0.547085201794	0.9989367357790001	0.06995412844039998	0.999468085106	0.124046771734	0.99937874859	0.15830273861	1.0	0.780019212296	0.998960859023	0.297326986452	0.999480159418	0.430540827147	0.9993328023520001	0.40911900234899995
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	4	493	7	False	Adagrad	0.4	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	42.05711603164673	1.0	0.6904538341159999	0.999625	0.5121894590199999	0.999812464837	0.588109837377	0.999708134197	0.425130438359	1.0	0.76780072904	0.9999221608159999	0.8784929792849999	0.999961078893	0.819425533294	0.999908581366	0.5360917424270001	1.0	0.8014184397159999	0.998624484182	0.209907120743	0.9993117687540001	0.332679097154	0.99920932759	0.37485308662600003	1.0	0.584541062802	0.9993757802750001	0.06938073394500001	0.999687792694	0.12403895438200001	0.999635686057	0.166453065096	1.0	0.790648246546	0.999797857287	0.272427682168	0.9998989184270001	0.40522875817000004	0.999870229973	0.39462286827799997
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	5	493	7	False	Adagrad	0.5	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	35.584274530410774	1.0	0.687801738011	0.9996987951809999	0.496169027165	0.999849374906	0.576476935527	0.999766089761	0.414033850108	1.0	0.763320043494	0.999906515846	0.878353955234	0.999953255738	0.8168067226890001	0.9998903330500001	0.527842157952	1.0	0.798969072165	0.9995910020450001	0.19195046439599997	0.999795459194	0.309535696455	0.999764617937	0.35718037083899995	1.0	0.552884615385	0.999255675475	0.0659403669725	0.999627699181	0.117827868852	0.999565121402	0.15497052853	1.0	0.7813852813850001	1.0	0.264372024899	1.0	0.39507523939800004	1.0	0.384413182989
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	6	493	7	False	Adagrad	0.6	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	28.328845262527466	1.0	0.676948051948	0.999625468165	0.484095658231	0.999812699007	0.564505211859	0.999708302914	0.398543806284	1.0	0.754982694832	0.9998838964360001	0.8794661476440001	0.9999419448479999	0.812483945543	0.999862608099	0.5134435006979999	1.0	0.807339449541	1.0	0.16346749225999999	1.0	0.271884654995	1.0	0.331167824326	1.0	0.552631578947	0.999056158565	0.0602064220183	0.999527856468	0.10858324715600001	0.999449858395	0.147913634357	1.0	0.782713085234	1.0	0.238740388136	1.0	0.365881032548	1.0	0.364417724748
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	7	493	7	False	Adagrad	0.7	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	21.32522821426392	1.0	0.665892501659	0.9997509339980001	0.46598560482900003	0.999875451488	0.548285753312	0.999805740214	0.379721319264	1.0	0.744158602785	1.0	0.87668566662	1.0	0.805004148848	1.0	0.490422464142	1.0	0.787769784173	1.0	0.13560371517	1.0	0.23137876386700001	1.0	0.29592928926999995	1.0	0.521212121212	1.0	0.0493119266055	1.0	0.09009952854900001	1.0	0.12720582382600001	1.0	0.7550744248989999	1.0	0.204320761626	1.0	0.321613832853	1.0	0.325075375981
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	8	493	7	False	Adagrad	0.8	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	14.44706416130066	1.0	0.654085872576	1.0	0.438588344555	1.0	0.525086865879	1.0	0.35558657659000004	1.0	0.740226397479	1.0	0.881829556513	1.0	0.8048471006219999	1.0	0.487330066249	1.0	0.785388127854	1.0	0.106501547988	1.0	0.187568157034	1.0	0.261072175507	1.0	0.525	1.0	0.048165137614699996	1.0	0.0882352941176	1.0	0.1264835616	1.0	0.764912280702	1.0	0.15964848041	1.0	0.264162375038	1.0	0.28866286824799997
False	False	None	gini	None	mean	False	1234	0.05	None	sqrt	1e-07	1	2	0.0	9	493	7	False	Adagrad	0.9	classification	1234	True	True	1234	compounds	False	None	123456	False	1234	8.355624198913574	1.0	0.626923076923	1.0	0.41629904806100004	1.0	0.500348820985	1.0	0.322134284085	1.0	0.718474401558	1.0	0.872097872932	1.0	0.787867370008	1.0	0.43488366161799996	1.0	0.7884615384620001	1.0	0.050773993808000004	1.0	0.0954043048284	1.0	0.17990830800299998	1.0	0.469879518072	1.0	0.0223623853211	1.0	0.0426929392447	1.0	0.0778017572332	1.0	0.775757575758	1.0	0.093738557305	1.0	0.16726559947699998	1.0	0.221775889169
